date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Odisha,Cuttack,754030,123,198
01-03-2025,Odisha,Mayurbhanj,757002,36,76
01-03-2025,Odisha,Keonjhar,758079,126,208
01-03-2025,Odisha,Puri,752121,32,51
01-03-2025,Odisha,Ganjam,760001,19,47
01-03-2025,Odisha,Koraput,764056,24,84
01-03-2025,Odisha,Cuttack,754029,369,692
01-03-2025,Odisha,Cuttack,754028,181,385
01-03-2025,Odisha,Jajpur,754023,28,74
01-03-2025,Odisha,Ganjam,761109,173,363
01-03-2025,Odisha,Sundargarh,769001,142,182
01-03-2025,Odisha,Khordha,751007,76,131
01-03-2025,Odisha,Gajapati,761217,435,995
01-03-2025,Odisha,Koraput,764014,219,301
01-03-2025,Odisha,Jajpur,754214,35,64
01-03-2025,Odisha,Jagatsinghpur,754106,98,196
01-03-2025,Odisha,Dhenkanal,759021,165,334
01-03-2025,Odisha,Jagatsinghpur,754111,12,49
01-03-2025,Odisha,Keonjhar,758018,588,783
01-03-2025,Odisha,Kandhamal,762021,366,526
01-03-2025,Odisha,Kendrapara,754245,108,189
01-03-2025,Odisha,Kandhamal,762022,15,91
01-03-2025,Odisha,Angul,759116,11,27
01-03-2025,Odisha,Koraput,763008,136,154
01-03-2025,Odisha,Mayurbhanj,757035,182,232
01-03-2025,Odisha,Balasore,756079,52,108
01-03-2025,Odisha,Keonjhar,758046,74,128
01-03-2025,Odisha,Puri,752015,117,250
01-03-2025,Odisha,Balasore,756034,13,50
01-03-2025,Odisha,Nayagarh,752092,89,132
01-03-2025,Odisha,Gajapati,761015,183,471
01-03-2025,Odisha,Kalahandi,766031,73,109
01-03-2025,Odisha,Mayurbhanj,757040,199,302
01-03-2025,Odisha,Koraput,764038,170,444
01-03-2025,Odisha,Balasore,756049,15,9
01-03-2025,Odisha,Khordha,751009,45,58
01-03-2025,Odisha,Sundargarh,770012,108,164
01-03-2025,Odisha,Bargarh,768040,178,215
01-03-2025,Odisha,Subarnapur,767016,199,268
01-03-2025,Odisha,Balasore,756037,44,63
01-03-2025,Odisha,Bargarh,768104,198,382
01-03-2025,Odisha,Cuttack,754130,18,32
01-03-2025,Odisha,Jajpur,754292,39,72
01-03-2025,Odisha,Jagatsinghpur,754142,21,49
01-03-2025,Odisha,Balasore,756020,41,122
